,ID,Link,Title,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller
40,ID16BohX,https://www.olx.pl/d/oferta/apartament-2-pokoje-ul-sabinowek-CID3-ID16BohX.html,Apartament 2 pokoje ul.Sabinówek,1 600 zł,Kielce - Dzisiaj o 18:54,50 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,no,yes,3,garage,no,2,private
41,ID4vSIK,https://www.olx.plhttps://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-do-wynajecia-w-centrum-ID4vSIK.html,Dwupokojowe mieszkanie do wynajęcia w centrum,1 900 zł,Kielce - 27 czerwca 2025,"48,70 m²",kielce,2025-07-13 22:46:27,wynajem,remaining,,yes,3,,,2,private
42,ID16hVoW,https://www.olx.pl/d/oferta/nowa-kawalerka-ul-kaczynskiego-obok-rynku-CID3-ID16hVoW.html,Nowa kawalerka ul. Kaczyńskiego  obok Rynku,1 800 zł,Kielce - 18 czerwca 2025,26 m²,kielce,2025-07-13 22:46:27,wynajem,block,,yes,,,,1,private
43,ID4vW5o,https://www.olx.plhttps://www.otodom.pl/pl/oferta/-ID4vW5o.html,"Mieszkanie, Kielce",1 200 zł,Kielce - 18 czerwca 2025,18 m²,kielce,2025-07-13 22:46:27,wynajem,block,,yes,1,,,1,developers
44,ID4x7FR,https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-dostepne-od-zaraz-25-48m-ul-kwarciana-ID4x7FR.html,Mieszkanie dostepne od zaraz 25.48m ul Kwarciana,2 000 zł,Kielce - 03 lipca 2025,"25,48 m²",kielce,2025-07-13 22:46:27,wynajem,block,,yes,0,,,1,developers
45,ID4vRG9,https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-mieszkanie-40m2-umeblowane-w-super-lokalizacji-ID4vRG9.html,Nowe mieszkanie 40m2 umeblowane w super lokalizacji,2 550 zł,Kielce - 15 czerwca 2025,40 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,yes,2,,,2,private
46,ID4vmWj,https://www.olx.plhttps://www.otodom.pl/pl/oferta/oferta-super-plaza-2-ID4vmWj.html,Oferta Super ! Plaza 2,2 200 zł,Kielce - 17 czerwca 2025,46 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,yes,8,,,2,developers
47,ID,Link,Title,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,,,,,,,,
48,ID4vJmC,https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokoje-warszawska-swietna-lokalizacja-gotowe-do-zamieszkania-ID4vJmC.html,3 pokoje | Warszawska | Świetna lokalizacja | Gotowe do zamieszkania,419 000 zł,Kielce - 05 czerwca 2025,"55,90 m² - 7495.53 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
49,ID14D95q,https://www.olx.pl/d/oferta/3-pokoje-mieszkanie-51-metrow-kielce-2-pietro-ul-piekoszowska-34-CID3-ID14D95q.html,"3 pokoje ,mieszkanie 51 metrów Kielce 2 piętro ul Piekoszowska 34",395 000 złdo negocjacji,Kielce - 26 czerwca 2025,51 m² - 7745.1 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
50,ID15HrwZ,https://www.olx.pl/d/oferta/nowy-bocianek-mieszkanie-z-ogrodkiem-w-cenie-CID3-ID15HrwZ.html,"Nowy Bocianek, Mieszkanie z ogródkiem w cenie,",670 000 złdo negocjacji,Kielce - 07 lipca 2025,"56,40 m² - 11879.43 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
51,ID16feCq,https://www.olx.pl/d/oferta/kielce-2-pokoje-umeblowane-parking-ul-romualda-blisko-galerii-CID3-ID16feCq.html,"Kielce – 2 pokoje, umeblowane, parking, ul. Romualda, blisko Galerii",395 000 złdo negocjacji,Kielce - Odświeżono dnia 12 lipca 2025,"43,50 m² - 9080.46 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
52,ID16fU1M,https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-ksm-64-2-m-idealne-dla-rodziny-szkola-sklepy-CID3-ID16fU1M.html,"Mieszkanie 3 pokoje KSM 64,2 m² – idealne dla rodziny, szkoła, sklepy",557 000 zł,Kielce - Odświeżono Dzisiaj o 12:52,"64,20 m² - 8676.01 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
53,ID16vcZM,https://www.olx.pl/d/oferta/klimatyczne-z-miejscem-parkingowym-wszystko-blisko-CID3-ID16vcZM.html,Klimatyczne z miejscem parkingowym wszystko blisko,300 000 zł,Kielce - Odświeżono Dzisiaj o 20:43,29 m² - 10344.83 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
54,ID4vN3Z,https://www.olx.plhttps://www.otodom.pl/pl/oferta/przytulne-mieszkanie-2-pokojowe-z-osobna-kuchnia-ID4vN3Z.html,Przytulne mieszkanie 2 pokojowe z osobną kuchnią,329 000 zł,Kielce - Dzisiaj o 07:59,45 m² - 7311.11 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
55,ID4xd8R,https://www.olx.plhttps://www.otodom.pl/pl/oferta/dwustronnefunkcjonalneduza-piwnicazalew-kieleckigaleria-echo-ID4xd8R.html,⭐Dwustronne⭐Funkcjonalne⭐Duża piwnica⭐Zalew Kielecki⭐Galeria ECHO⭐,340 000 zł,Kielce - 10 lipca 2025,42 m² - 8095.24 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
56,ID4xe2U,https://www.olx.plhttps://www.otodom.pl/pl/oferta/-ID4xe2U.html,"Mieszkanie, Kielce",435 000 zł,Kielce - 11 lipca 2025,47 m² - 9255.32 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
57,ID16Br4U,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-os-swietokrzyskie-1-pietro-CID3-ID16Br4U.html,Mieszkanie 2 pokojowe os. Świętokrzyskie 1 pietro,498 000 złdo negocjacji,Kielce - Dzisiaj o 19:50,48 m² - 10375 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
58,ID16x8YD,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-55-29m2-ul-galenowa-os-podkarczowka-CID3-ID16x8YD.html,"Sprzedam mieszkanie 55,29m2 ul. Galenowa oś. Podkarczówka",490 000 złdo negocjacji,Kielce - Odświeżono Dzisiaj o 18:50,"55,29 m² - 8862.36 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
59,ID4v3EN,https://www.olx.plhttps://www.otodom.pl/pl/oferta/sikorskiego-kawalerka-w-stanie-deweloperskim-ID4v3EN.html,Sikorskiego - Kawalerka w stanie deweloperskim,314 000 zł,Kielce - Dzisiaj o 07:58,"26,24 m² - 11966.46 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
60,ID16uGUt,https://www.olx.pl/d/oferta/mieszkanie-48m-grunwaldzka-CID3-ID16uGUt.html,Mieszkanie 48m  grunwaldzka,430 000 złdo negocjacji,Kielce - Odświeżono Dzisiaj o 09:29,48 m² - 8958.33 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
61,ID16nxqh,https://www.olx.pl/d/oferta/na-sprzedaz-mieszkanie-3-pok-z-oddzielna-kuchnia-i-garderoba-sady-CID3-ID16nxqh.html,Na sprzedaż mieszkanie 3 pok. z oddzielną kuchnią i garderobą-Sady,629 000 zł,Kielce - 25 czerwca 2025,"58,90 m² - 10679.12 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
62,ID16qAm7,https://www.olx.pl/d/oferta/mieszkanie-4-pokojowe-wysoki-standard-CID3-ID16qAm7.html,Mieszkanie 4 pokojowe wysoki standard,818 750 złdo negocjacji,Kielce - Odświeżono dnia 11 lipca 2025,"65,50 m² - 12500 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
63,ID16aMRr,https://www.olx.pl/d/oferta/centrum-park-3-pokoje-60m2-2-tarasy-90m2-wysoki-standard-bezposre-CID3-ID16aMRr.html,"Centrum, park! 3 pokoje 60m2, 2 tarasy 90m2. Wysoki standard. Bezposre",820 000 zł,Kielce - Odświeżono dnia 12 lipca 2025,60 m² - 13666.67 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
64,ID4x3tW,https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-bezczynszowe-53-m2-3-pokoje-z-wlasnym-ogrodem-ID4x3tW.html,"Mieszkanie bezczynszowe 53 m2, 3 pokoje, z własnym ogrodem",461 000 zł,Kielce - 30 czerwca 2025,53 m² - 8698.11 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
65,ID4xaUH,https://www.olx.plhttps://www.otodom.pl/pl/oferta/generalny-remont-2-pokoje-kuchnia-prywatny-parking-ID4xaUH.html,Generalny Remont | 2 Pokoje + kuchnia | Prywatny Parking,340 000 zł,Kielce - 08 lipca 2025,37 m² - 9189.19 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
66,ID4xcM6,https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36-m-kielce-ul-kollataja-ID4xcM6.html,"2- pokojowe mieszkanie 36 m² – Kielce, ul. Kołłątaja",273 000 zł,Kielce - 09 lipca 2025,36 m² - 7583.33 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
67,ID4x8gG,https://www.olx.plhttps://www.otodom.pl/pl/oferta/generalny-remont-mieszkanie-2-pokojowe-na-4-pietrze-z-winda-ID4x8gG.html,Generalny remont - mieszkanie 2 -pokojowe na 4 pietrze z windą.,390 000 zł,Kielce - 04 lipca 2025,"39,64 m² - 9838.55 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
68,ID16Br4r,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-37m2-CID3-ID16Br4r.html,Sprzedam mieszkanie 37m2,340 000 złdo negocjacji,Kielce - Dzisiaj o 19:53,37 m² - 9189.19 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
69,ID4vQRe,https://www.olx.plhttps://www.otodom.pl/pl/oferta/okazja-mieszkanie-na-stoku-2-pok-rezerwacja-ID4vQRe.html,Okazja/Mieszkanie/Na Stoku/2 pok./Rezerwacja,315 000 zł,Kielce - 16 czerwca 2025,"39,60 m² - 7954.55 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
70,ID15aZS1,https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-ul-klonowa-CID3-ID15aZS1.html,Mieszkanie na sprzedaż - ul. Klonowa,509 000 zł,Kielce - Odświeżono Dzisiaj o 07:38,54 m² - 9425.93 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
71,ID4xa1q,https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-patio-vita-59-39m2-ID4xa1q.html,"3-pokojowe mieszkanie  Patio Vita 59,39m2",669 000 zł,Kielce - 08 lipca 2025,"59,39 m² - 11264.52 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
72,ID4xfnN,https://www.olx.plhttps://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-42-30-m2-ul-struga-ID4xfnN.html,Na sprzedaż mieszkanie 42.30 m2 ul. Struga,355 000 zł,Kielce - Dzisiaj o 17:00,"42,30 m² - 8392.43 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
73,ID4wbpS,https://www.olx.plhttps://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-ID4wbpS.html,Przestronne 3 pokojowe mieszkanie,469 000 zł,Kielce - 25 czerwca 2025,50 m² - 9380 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
74,ID16qSF2,https://www.olx.pl/d/oferta/rezerwacja-3-pokoje-po-remoncie-gotowe-do-zamieszkania-przy-politech-CID3-ID16qSF2.html,REZERWACJA 3 pokoje po remoncie|Gotowe do zamieszkania|przy Politech,519 999 złdo negocjacji,Kielce - Odświeżono dnia 12 lipca 2025,"54,50 m² - 9541.27 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
75,ID4vYOK,https://www.olx.plhttps://www.otodom.pl/pl/oferta/kup-mieszkanie-w-1-etapie-zamieszkaj-w-2025-r-ID4vYOK.html,Kup mieszkanie w 1 Etapie - zamieszkaj w 2025 r.,549 000 zł,Kielce - 24 czerwca 2025,"46,86 m² - 11715.75 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
76,ID16mzLd,https://www.olx.pl/d/oferta/centrum-2-pietro-jasne-i-cieple-po-generalnym-remoncie-CID3-ID16mzLd.html,Centrum/ 2 piętro / jasne i ciepłe/ po generalnym remoncie,464 900 zł,Kielce - Odświeżono dnia 12 lipca 2025,48 m² - 9685.42 zł/m²,kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
77,ID4xcxm,https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-4-pokojowe-mieszkanie-dwa-balkony-parking-ID4xcxm.html,nowe 4 pokojowe mieszkanie dwa balkony parking,818 750 zł,Kielce - 10 lipca 2025,"65,50 m² - 12500 zł/m²",kielce,2025-07-13 22:46:33,sprzedaz,,,,,,,,
