Link,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller,Refreshed,Date,Negotiations
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-2-pokoje-w-centrum-miasta-winda-nowy-budynek-ul-kaczynskiego-ID4x3qk.html,2 400,Kielce,37.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,3,no,False,2,developers,False,2025-06-30,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokoje-66m2-wysoki-standard-po-remoncie-ID4xaxH.html,2 600,Kielce,66.2,kielce,2025-07-14 00:45:21,wynajem,block,0,True,4,no,False,3,developers,False,2025-07-07,False
https://www.olx.pl/d/oferta/apartament-2-pokoje-ul-sabinowek-CID3-ID16BohX.html,1 600,Kielce,50.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,3,garage,False,2,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/kawalerka-kielce-CID3-ID16zfxM.html,1 900,Kielce,35.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,garage,False,1,private,False,2025-07-11,False
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-kielce-ul-szwedzka-CID3-ID16w0a9.html,2 500,Kielce,70.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,2,guarded,True,3,private,False,2025-07-06,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajme-3-pokojowe-piekne-mieszkanie-bezposrednio-po-remoncie-ID4xbzU.html,2 300,Kielce,50.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,2,no,False,2,private,False,2025-07-08,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokoje-w-centrum-na-wynajem-ID4vLy7.html,2 000,Kielce,55.98,kielce,2025-07-14 00:45:21,wynajem,block,0,False,1,no,False,2,developers,False,2025-07-08,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-30m-taras-ul-romualda-1-centrum-ID4bPqp.html,1 950,Kielce,30.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,4,no,False,1,private,False,2025-06-30,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-apartament-27-m2-ulica-jeleniowska-kielce-CID3-ID13ckhq.html,1 700,Kielce,27.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,belonging_on_street,False,1,private,False,2025-06-23,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/48m2-kielce-wielkopolska-2-pokoje-ID4xcTx.html,2 000,Kielce,48.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,3,no,False,2,private,False,2025-07-09,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-kielce-apartament-centrum-25m-mieszkanie-2os-srodmiescie-ID4i9VL.html,1 400,Kielce,25.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,3,no,False,1,private,False,2025-06-30,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-38m2-CID3-ID16wmkk.html,1 950,Kielce,38.5,kielce,2025-07-14 00:45:21,wynajem,block,0,True,4,no,True,2,private,True,2025-07-12,False
https://www.olx.pl/d/oferta/mieszkanie-kawalerka-do-wynajecia-kielce-sady-blisko-ujk-politechnika-CID3-ID16srxL.html,1 400,Kielce,27.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,3,belonging_on_street,False,1,private,False,2025-07-02,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/slichowice-ul-tektoniczna-dwa-pokoje-ID4aBxK.html,1 500,Kielce,43.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,0,no,False,2,developers,False,2025-07-09,False
https://www.olx.pl/d/oferta/2-pokoje-53-m2-ul-hoza-17a-CID3-ID16wKnY.html,2 300,Kielce,53.0,kielce,2025-07-14 00:45:21,wynajem,block,1,True,8,no,True,2,private,False,2025-07-07,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowe-3-pok-os-legionow-kolo-wdk-garaz-ID4vhYu.html,2 500,Kielce,55.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,2,no,False,3,developers,False,2025-07-07,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/na-wynajem-nowa-kawalerka-26m-ID4vHMf.html,2 000,Kielce,26.0,kielce,2025-07-14 00:45:21,wynajem,block,1,True,6,no,False,1,private,False,2025-07-07,False
https://www.olx.pl/d/oferta/mieszkanie-trzy-pokojowe-w-centrum-kielc-CID3-ID16B2ZH.html,2 500,Kielce,70.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,garage,False,3,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-ul-marszalkowska-36m-duzy-balkon-15m-CID3-ID11SvUB.html,2 400,Kielce,36.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,2,no,False,2,private,False,2025-06-29,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-2-pokojowe-w-centrumkielc-ID4jkh2.html,2 450,Kielce,34.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,4,no,False,2,private,False,2025-06-16,False
https://www.olx.pl/d/oferta/mieszkanie-z-tarasem-40m-slichowice-CID3-ID16iw3h.html,2 400,Kielce,40.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,0,guarded,False,2,private,False,2025-06-19,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-studio-plaza-tower-ID4tu5i.html,2 300,Kielce,37.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,6,no,False,1,developers,False,2025-07-07,False
https://www.olx.pl/d/oferta/przytulne-mieszkanie-ul-warszawska-pierwszy-najem-CID3-ID16qP2i.html,2 600,Kielce,36.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,0,garage,False,1,private,False,2025-06-30,False
https://www.olx.pl/d/oferta/kawalerka-na-wynajem-CID3-ID16lA9L.html,1 650,Kielce,30.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,1,belonging_on_street,False,1,private,False,2025-06-23,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-w-cichej-i-spokojnej-okolicy-z-prywatnym-parkingiem-ID4x9xS.html,1 200,Kielce,30.0,kielce,2025-07-14 00:45:21,wynajem,detached_house,0,True,1,no,False,1,developers,False,2025-07-06,False
https://www.olx.pl/d/oferta/apartament-w-centrum-do-wynajecia-CID3-ID16rCTl.html,2 230,Kielce,43.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,1,no,False,2,private,True,2025-07-08,False
